HopsAttacker,HopsSourceSink,NumberFakes
18.0,19,42894.75
18.0,19,38721.5
18.0,18,33841.199999999997
20.0,20,45909.599999999999
21.0,21,31407.799999999999
18.0,18,47595.199999999997
19.0,20,40424.0
16.0,18,42621.75
18.0,18,29095.400000000001
19.0,19,41164.0
17.0,19,38518.75
15.0,18,43792.0
20.0,22,38904.75
19.0,19,39460.800000000003
21.0,21,46273.25
18.0,18,42946.599999999999
18.0,19,36285.800000000003
18.0,18,42063.25
18.0,19,46253.5
15.0,16,31489.599999999999
18.0,19,43183.5
23.0,24,38259.25
17.0,21,42347.800000000003
23.0,23,27528.799999999999
22.0,24,36332.599999999999
20.0,20,43699.0
19.0,19,39735.25
22.0,22,31736.5
18.0,18,36497.666666666664
18.0,18,34916.666666666664
20.0,20,39992.166666666664
20.0,21,45935.0
19.0,19,39648.599999999999
22.0,23,34060.0
20.0,20,44658.0
19.0,19,33404.25
20.0,22,33015.166666666664
20.0,21,38255.0
17.0,19,37664.599999999999
21.0,21,23500.200000000001
20.0,20,35672.75
18.0,18,45473.400000000001
17.0,18,38791.0
19.0,20,34773.0
17.0,18,38241.0
18.0,19,28985.5
16.0,19,46344.0
17.0,17,36001.5
20.0,21,50649.400000000001
23.0,23,39788.833333333336
